image_id,bbox,width,height,size
5001,"[434.75, 40.93, 70.86, 119.68]",70.86,119.68,8480.524800000001
5001,"[354.88, 91.69, 162.87, 378.6]",162.87,378.6,61662.582
5001,"[208.12, 61.3, 89.39, 148.7]",89.39,148.7,13292.293
5001,"[211.45, 88.41, 123.67, 193.01]",123.67,193.01,23869.5467
5001,"[41.08, 95.68, 107.03, 378.37]",107.03,378.37,40496.941100000004
5001,"[424.99, 22.65, 44.22, 71.19]",44.22,71.19,3148.0218
5001,"[225.44, 255.64, 127.28, 224.36]",127.28,224.36,28556.540800000002
5001,"[523, 26, 116, 288]",116.0,288.0,33408.0
5001,"[10.79, 32.63, 58.24, 169.35]",58.24,169.35,9862.944
5001,"[297.02, 50.13, 58.4, 87.23]",58.4,87.23,5094.232
5001,"[50.81, 58.55, 84.68, 83.97]",84.68,83.97,7110.5796
5001,"[77.25, 244.56, 113.3, 235.26]",113.3,235.26,26654.958
5001,"[171.19, 31.06, 80.38, 154.48]",80.38,154.48,12417.102399999998
5037,"[191.21, 147.31, 53.31, 59.56]",53.31,59.56,3175.1436000000003
5037,"[623.04, 217.15, 16.96, 144.44]",16.96,144.44,2449.7024
5037,"[48.31, 223.43, 12.86, 24.35]",12.86,24.35,313.141
5037,"[28.98, 226.23, 15.18, 20.7]",15.18,20.7,314.226
5037,"[595.57, 242.81, 18.39, 28.56]",18.39,28.56,525.2184
5037,"[9.68, 222.71, 11.92, 23.36]",11.92,23.36,278.4512
5037,"[18.74, 221.13, 11.65, 26.65]",11.65,26.65,310.47249999999997
5060,"[159.19, 309.5, 165.16, 188.9]",165.16,188.9,31198.724000000002
5193,"[289.16, 171.75, 120.31, 228.99]",120.31,228.99,27549.786900000003
5193,"[1.91, 89.78, 216.8, 330.44]",216.8,330.44,71639.392
5193,"[138.8, 113.43, 109.12, 281.42]",109.12,281.42,30708.550400000004
5193,"[360.06, 220.62, 127.02, 153.76]",127.02,153.76,19530.5952
5193,"[377.31, 98.78, 203.5, 190.61]",203.5,190.61,38789.135
5193,"[223.61, 63.61, 37.31, 122.95]",37.31,122.95,4587.2645
5529,"[79.1, 116.49, 176.9, 333.67]",176.9,333.67,59026.223000000005
5586,"[301.85, 39.19, 10.02, 9.14]",10.02,9.14,91.5828
5586,"[65.6, 36.61, 10.85, 8.14]",10.85,8.14,88.319
5586,"[136.17, 24.14, 11.26, 19.87]",11.26,19.87,223.7362
5586,"[154.26, 31.46, 7.89, 12.75]",7.89,12.75,100.5975
5586,"[146.46, 29.57, 8.79, 14.45]",8.79,14.45,127.01549999999997
5586,"[111.22, 36.73, 9.97, 6.13]",9.97,6.13,61.1161
5586,"[272.28, 73.03, 23.63, 37.82]",23.63,37.82,893.6866
5586,"[291.53, 62.07, 10.2, 42.24]",10.2,42.24,430.848
5586,"[140.53, 69.89, 37.4, 90.34]",37.4,90.34,3378.716
5586,"[186.46, 32.3, 11.39, 11.82]",11.39,11.82,134.62980000000002
5586,"[0, 0, 319, 239]",319.0,239.0,76241.0
5586,"[131.1, 169.11, 68.79, 57.22]",68.79,57.22,3936.1638000000003
5586,"[100.77, 27.35, 8.78, 15.19]",8.78,15.19,133.36819999999997
5586,"[178, 26.34, 8.24, 17.55]",8.24,17.55,144.61200000000002
6040,"[296, 201.64, 21.51, 24.11]",21.51,24.11,518.6061
6040,"[331.63, 201.93, 25.2, 27.02]",25.2,27.02,680.904
6040,"[379.64, 206.15, 17.89, 17.61]",17.89,17.61,315.0429
6040,"[139.61, 197.7, 6, 12.83]",6.0,12.83,76.98
6040,"[198.77, 198.77, 9.46, 18.14]",9.46,18.14,171.60440000000003
6040,"[374.13, 202.01, 14.15, 21.14]",14.15,21.14,299.13100000000003
6040,"[261.97, 197.22, 18.44, 24.65]",18.44,24.65,454.546
6040,"[350.72, 200.56, 10.16, 31.71]",10.16,31.71,322.1736
6040,"[126.08, 201.12, 7.17, 8.88]",7.17,8.88,63.6696
6460,"[277.45, 137.66, 54.65, 69.57]",54.65,69.57,3802.0004999999996
6471,"[49.1, 80.86, 53.18, 62.78]",53.18,62.78,3338.6404
6471,"[87.07, 71.44, 66.53, 69.07]",66.53,69.07,4595.2271
6471,"[16.69, 141.86, 110.02, 182.06]",110.02,182.06,20030.2412
6471,"[387.13, 60.11, 88.14, 53.45]",88.14,53.45,4711.0830000000005
6471,"[256.84, 70.89, 97.07, 232.95]",97.07,232.95,22612.456499999997
6471,"[215.51, 76.33, 47.15, 53.88]",47.15,53.88,2540.442
6471,"[169.32, 74.42, 52.63, 56.89]",52.63,56.89,2994.1207000000004
6471,"[39.66, 0, 36.67, 14.22]",36.67,14.22,521.4474
6471,"[87.36, 184.51, 153.8, 140.36]",153.8,140.36,21587.368000000002
6471,"[17.55, 96.95, 50.82, 52.25]",50.82,52.25,2655.345
6763,"[0, 212.86, 48.54, 122.17]",48.54,122.17,5930.1318
6763,"[2.53, 94.94, 234.18, 382.28]",234.18,382.28,89522.33039999999
6763,"[79.48, 131.87, 254.23, 331.05]",254.23,331.05,84162.8415
6771,"[386.95, 131.82, 93.87, 96.68]",93.87,96.68,9075.351600000002
6771,"[534.47, 166, 105.53, 252.36]",105.53,252.36,26631.5508
6771,"[187.53, 100.5, 251.01, 326.5]",251.01,326.5,81954.765
6771,"[102.06, 146.13, 100.02, 82.09]",100.02,82.09,8210.6418
6771,"[386.7, 156.41, 184.23, 270.59]",184.23,270.59,49850.795699999995
6771,"[0.96, 0, 246.6, 422.2]",246.6,422.2,104114.51999999999
6771,"[532.55, 127.62, 107.45, 200.55]",107.45,200.55,21549.097500000003
6771,"[64.66, 185.53, 158.9, 163.96]",158.9,163.96,26053.244000000002
6894,"[293.39, 20.49, 346.61, 459.51]",346.61,459.51,159270.7611
6954,"[1.08, 107.87, 162.88, 346.24]",162.88,346.24,56395.5712
6954,"[197.39, 124.04, 171.51, 248.09]",171.51,248.09,42549.9159
6954,"[145.29, 136.68, 122.69, 193.72]",122.69,193.72,23767.5068
6954,"[362.55, 151.05, 87.46, 164.68]",87.46,164.68,14402.9128
6954,"[359.19, 117.57, 280.81, 268.59]",280.81,268.59,75422.7579
7088,"[179.05, 208.22, 97.73, 254.29]",97.73,254.29,24851.7617
7278,"[189.78, 59.41, 121.85, 94.89]",121.85,94.89,11562.3465
7281,"[592.33, 203.68, 9.09, 13.51]",9.09,13.51,122.8059
7281,"[465.33, 122.24, 62.17, 73.68]",62.17,73.68,4580.685600000001
7281,"[255.86, 199.85, 5.78, 6.73]",5.78,6.73,38.89940000000001
7281,"[344.85, 132.99, 128.41, 166.36]",128.41,166.36,21362.2876
7281,"[534.6, 209.47, 3.73, 4.46]",3.73,4.46,16.6358
7281,"[572.72, 201.91, 7.4, 10.88]",7.4,10.88,80.51200000000001
7281,"[0, 225.63, 34.15, 45.53]",34.15,45.53,1554.8495
7281,"[634.84, 209.66, 3.75, 5.86]",3.75,5.86,21.975
7281,"[601.22, 203.33, 5.92, 11.63]",5.92,11.63,68.84960000000001
7281,"[551.1, 193.24, 17.6, 28.77]",17.6,28.77,506.35200000000003
7511,"[596.38, 293.13, 10.49, 14.91]",10.49,14.91,156.4059
7511,"[238.78, 281.73, 13.64, 24.59]",13.64,24.59,335.4076
7511,"[602.26, 276.75, 8.2, 12.71]",8.2,12.71,104.222
7511,"[605.67, 296.63, 9.95, 12.01]",9.95,12.01,119.49949999999998
7511,"[623.14, 280.75, 6.4, 15.18]",6.4,15.18,97.152
7511,"[592.74, 272.63, 5, 15.46]",5.0,15.46,77.30000000000001
7511,"[610.59, 277.12, 6.18, 8.89]",6.18,8.89,54.940200000000004
7511,"[511.12, 286.87, 8.92, 12.7]",8.92,12.7,113.28399999999999
7511,"[269.44, 272.78, 13.19, 32.45]",13.19,32.45,428.01550000000003
7511,"[337, 272, 267, 28]",267.0,28.0,7476.0
7511,"[614.16, 297.67, 15.94, 11.44]",15.94,11.44,182.3536
7511,"[386.16, 240.54, 122.96, 231.91]",122.96,231.91,28515.653599999998
7511,"[523.46, 276.22, 8.34, 21.23]",8.34,21.23,177.0582
7511,"[385.74, 274.12, 5.95, 7.97]",5.95,7.97,47.4215
7816,"[491.06, 56.27, 28.38, 106.64]",28.38,106.64,3026.4431999999997
7816,"[244.25, 34.1, 50.82, 110.04]",50.82,110.04,5592.232800000001
7816,"[386.1, 147.28, 33.14, 21.3]",33.14,21.3,705.8820000000001
7816,"[573.48, 53.75, 24.53, 28.65]",24.53,28.65,702.7845
7816,"[271.43, 77.84, 184.41, 199.43]",184.41,199.43,36776.8863
7816,"[415.88, 122.97, 64.01, 53.05]",64.01,53.05,3395.7305
7816,"[564.4, 59.08, 23.18, 114.93]",23.18,114.93,2664.0774
7816,"[505.54, 53.01, 38.54, 112.08]",38.54,112.08,4319.5632
7816,"[362.4, 107.53, 22.35, 41.6]",22.35,41.6,929.7600000000001
7816,"[581.31, 47.32, 40.19, 139.23]",40.19,139.23,5595.653699999999
7977,"[80.2, 208, 7.09, 16.77]",7.09,16.77,118.8993
7977,"[104.36, 144.98, 158.4, 275.66]",158.4,275.66,43664.54400000001
7977,"[38.62, 213.35, 4.48, 10.47]",4.48,10.47,46.90560000000001
7977,"[42.75, 210.38, 7.46, 14.08]",7.46,14.08,105.0368
7977,"[66.51, 210.49, 7.93, 13.59]",7.93,13.59,107.7687
8021,"[3.24, 255.14, 305.95, 223.78]",305.95,223.78,68465.491
8021,"[435.33, 285.21, 204.67, 194.79]",204.67,194.79,39867.669299999994
8021,"[244.3, 101.17, 196.96, 266.9]",196.96,266.9,52568.623999999996
8211,"[325.94, 203.2, 84.58, 150.59]",84.58,150.59,12736.9022
8211,"[411.89, 181.48, 67.06, 163.86]",67.06,163.86,10988.451600000002
8532,"[155.89, 9.59, 484.11, 416.41]",484.11,416.41,201588.24510000003
8690,"[74.25, 10.38, 101.69, 291.63]",101.69,291.63,29655.8547
8690,"[136.7, 18.6, 214.82, 378.24]",214.82,378.24,81253.5168
8690,"[285.84, 73.35, 230.83, 323.59]",230.83,323.59,74694.2797
8690,"[379.69, 390.29, 257.79, 84.14]",257.79,84.14,21690.4506
8844,"[340.56, 186.5, 27.95, 61.7]",27.95,61.7,1724.515
8844,"[356.43, 58.23, 224.91, 219.19]",224.91,219.19,49298.022899999996
8844,"[292.79, 184.36, 42.6, 44.43]",42.6,44.43,1892.718
9378,"[421.38, 350.46, 20.3, 39.07]",20.3,39.07,793.121
9378,"[522.09, 318.63, 28.83, 39.52]",28.83,39.52,1139.3616
9378,"[491.31, 321.63, 45.47, 69.24]",45.47,69.24,3148.3428
9378,"[525.84, 295.73, 62.03, 79.1]",62.03,79.1,4906.572999999999
9378,"[10.33, 361.07, 24.6, 30.71]",24.6,30.71,755.466
9378,"[425.04, 336.99, 55.33, 52.52]",55.33,52.52,2905.9316
9378,"[307.83, 331.36, 86.37, 61.28]",86.37,61.28,5292.7536
9378,"[31.46, 363.15, 28.76, 26.96]",28.76,26.96,775.3696000000001
9378,"[66.82, 44.92, 406.32, 348.53]",406.32,348.53,141614.70959999997
9400,"[457.98, 68.75, 78.37, 153.4]",78.37,153.4,12021.958
9400,"[2.16, 95.43, 102.47, 97.08]",102.47,97.08,9947.7876
9400,"[563.75, 47.94, 50.1, 75.67]",50.1,75.67,3791.067
9400,"[312.11, 81.92, 148.52, 196.95]",148.52,196.95,29251.014
9400,"[276.76, 60.68, 89.71, 138.17]",89.71,138.17,12395.230699999998
9400,"[523, 410.09, 117, 65.08]",117.0,65.08,7614.36
9400,"[447.9, 89.27, 192.1, 276.12]",192.1,276.12,53042.652
9400,"[145.48, 95.59, 136.45, 171.87]",136.45,171.87,23451.6615
9400,"[367.18, 59.06, 35.62, 28.81]",35.62,28.81,1026.2122
9448,"[128, 101.4, 254.34, 530.29]",254.34,530.29,134873.95859999998
9483,"[36.44, 62.46, 140.7, 417.54]",140.7,417.54,58747.878
9590,"[259.08, 177.52, 64.29, 75.8]",64.29,75.8,4873.182000000001
9590,"[243.18, 348.22, 119.88, 73.07]",119.88,73.07,8759.631599999999
9590,"[513.4, 109.93, 126.6, 176.69]",126.6,176.69,22368.953999999998
9590,"[0, 52.78, 237.01, 374.22]",237.01,374.22,88693.88220000001
9590,"[136.36, 155.51, 94.83, 138.12]",94.83,138.12,13097.919600000001
9590,"[371.56, 168.77, 86.29, 97.71]",86.29,97.71,8431.3959
9769,"[310.94, 203.5, 39.58, 38.37]",39.58,38.37,1518.6845999999998
9769,"[252.29, 200.35, 48.21, 35.23]",48.21,35.23,1698.4382999999998
9769,"[139.51, 200.68, 43.78, 73.89]",43.78,73.89,3234.9042
9772,"[275.58, 230.99, 57.63, 125.42]",57.63,125.42,7227.9546
9891,"[206.64, 92.56, 150.67, 323.94]",150.67,323.94,48808.0398
9891,"[305.95, 112.73, 48.86, 42.64]",48.86,42.64,2083.3904
9891,"[438.24, 119.43, 37.79, 33.77]",37.79,33.77,1276.1683
9891,"[76.24, 105.34, 126.71, 181.48]",126.71,181.48,22995.330799999996
10707,"[422.83, 2.16, 177.98, 471.37]",177.98,471.37,83894.4326
10707,"[228.16, 147.57, 168.97, 309.95]",168.97,309.95,52372.2515
10707,"[347.01, 187.53, 125.44, 264.78]",125.44,264.78,33214.0032
10764,"[218.53, 80.77, 265.09, 314.84]",265.09,314.84,83460.93559999998
11051,"[7.23, 2.41, 386.64, 525.16]",386.64,525.16,203047.86239999998
11051,"[249.33, 77.09, 385.44, 458.91]",385.44,458.91,176882.2704
11149,"[417.13, 1.54, 82.87, 314.33]",82.87,314.33,26048.5271
11149,"[0, 3.8, 75.17, 117.4]",75.17,117.4,8824.958
11197,"[302.78, 119.19, 11.51, 11.84]",11.51,11.84,136.2784
11197,"[17.4, 112.97, 27.08, 73.43]",27.08,73.43,1988.4844
11197,"[300.58, 128.81, 19.64, 116.75]",19.64,116.75,2292.9700000000003
11197,"[309.74, 112.02, 53.22, 141.03]",53.22,141.03,7505.6166
11197,"[567.91, 146.97, 22.79, 44.73]",22.79,44.73,1019.3966999999999
11511,"[1.27, 51.73, 61.55, 162.56]",61.55,162.56,10005.568
11511,"[139.53, 32.22, 50.38, 140.24]",50.38,140.24,7065.291200000001
11511,"[90.35, 38.6, 39.71, 151.42]",39.71,151.42,6012.888199999999
11511,"[35.39, 44.5, 50.22, 145.84]",50.22,145.84,7324.0848
11699,"[60.54, 82.88, 162.88, 335.86]",162.88,335.86,54704.8768
11699,"[5.44, 240.5, 51.94, 67.85]",51.94,67.85,3524.1289999999995
11699,"[187.39, 99.46, 245.04, 533.33]",245.04,533.33,130687.1832
12120,"[518.92, 96.31, 16.86, 19]",16.86,19.0,320.34
12120,"[568.44, 84.77, 18.15, 35.47]",18.15,35.47,643.7805
12120,"[496.57, 75.94, 13.61, 26.43]",13.61,26.43,359.71229999999997
12120,"[512.36, 124.05, 19.6, 18.11]",19.6,18.11,354.956
12120,"[482.26, 208.19, 64.79, 116.09]",64.79,116.09,7521.471100000001
12120,"[89.83, 112.51, 29.49, 65.73]",29.49,65.73,1938.3777
12120,"[512.37, 76.58, 25.03, 23.65]",25.03,23.65,591.9594999999999
12120,"[482.8, 92.69, 21.75, 32.74]",21.75,32.74,712.095
12120,"[532.99, 86.41, 26.43, 30.75]",26.43,30.75,812.7225
12120,"[1, 0, 638, 289]",638.0,289.0,184382.0
12120,"[555.55, 90.73, 16.57, 25.6]",16.57,25.6,424.192
12120,"[447.6, 77.33, 20.94, 28.05]",20.94,28.05,587.3670000000001
12120,"[632.46, 103.91, 7.54, 20.9]",7.54,20.9,157.58599999999998
12120,"[3.85, 235.64, 57.71, 75.98]",57.71,75.98,4384.8058
12280,"[339.75, 250.26, 14.23, 62.62]",14.23,62.62,891.0826
12280,"[143.13, 241.34, 50.06, 128.62]",50.06,128.62,6438.717200000001
12280,"[307.47, 280.65, 10.79, 17.54]",10.79,17.54,189.25659999999996
12576,"[193.97, 15.23, 91.31, 136.31]",91.31,136.31,12446.4661
12639,"[311.35, 134.77, 21.62, 82.17]",21.62,82.17,1776.5154000000002
12639,"[23.58, 201.8, 82.7, 53.74]",82.7,53.74,4444.298000000001
12639,"[410.91, 125.01, 56.93, 167.95]",56.93,167.95,9561.3935
12639,"[21.57, 310.21, 161.08, 245.93]",161.08,245.93,39614.40440000001
12639,"[275.59, 193.56, 14.72, 11.82]",14.72,11.82,173.99040000000002
12639,"[67.27, 172.81, 33.47, 58.24]",33.47,58.24,1949.2928
12639,"[327.35, 170.85, 32.22, 49.56]",32.22,49.56,1596.8232
12639,"[169.71, 163.52, 31.64, 67.59]",31.64,67.59,2138.5476000000003
12639,"[121.88, 189.78, 31.68, 40.45]",31.68,40.45,1281.4560000000001
12639,"[86.84, 177.68, 27.14, 31.45]",27.14,31.45,853.553
12639,"[154.32, 193.93, 16.42, 37.26]",16.42,37.26,611.8092
12639,"[98.94, 193.73, 47.58, 54.23]",47.58,54.23,2580.2634
12639,"[22, 144, 287, 83]",287.0,83.0,23821.0
12639,"[198.92, 204.62, 118.26, 314.11]",118.26,314.11,37146.6486
12670,"[1, 0, 638, 427]",638.0,427.0,272426.0
12670,"[419.34, 162.54, 57.71, 130.81]",57.71,130.81,7549.0451
12670,"[315.29, 172.64, 77.89, 87.01]",77.89,87.01,6777.2089000000005
12670,"[263.53, 46.17, 76.95, 196.2]",76.95,196.2,15097.59
12670,"[0, 266.54, 70.37, 156.16]",70.37,156.16,10988.9792
12670,"[40.84, 230.96, 113.5, 197.04]",113.5,197.04,22364.04
12670,"[505.67, 103.04, 67.78, 99.18]",67.78,99.18,6722.420400000001
12670,"[104.63, 118.52, 91.48, 179.9]",91.48,179.9,16457.252
12670,"[238.61, 262.44, 125.37, 165.56]",125.37,165.56,20756.2572
12670,"[383.76, 219.29, 110.6, 195.24]",110.6,195.24,21593.544
12670,"[220.32, 156.3, 74.65, 182.94]",74.65,182.94,13656.471000000001
12670,"[334.71, 289.5, 108.68, 132.73]",108.68,132.73,14425.0964
12670,"[134.35, 262.94, 148.74, 159.3]",148.74,159.3,23694.282000000003
12670,"[349.4, 73.6, 47.05, 95.38]",47.05,95.38,4487.629
12748,"[217.17, 188.4, 262.83, 444.41]",262.83,444.41,116804.2803
12748,"[220.99, 138.62, 259.01, 493.63]",259.01,493.63,127855.1063
13177,"[301.86, 61.14, 314.28, 351.53]",314.28,351.53,110478.84839999999
13201,"[93.41, 86.99, 226.14, 423.32]",226.14,423.32,95729.5848
