image_id_x,bbox_id,center_x,scale_x,score_y
2299,11,"[451.989990234375, 204.59500122070312]","[0.6581718325614929, 0.8775624632835388]",0.8479021507150987
2431,1,"[39.76499938964844, 67.44999694824219]","[0.6323437690734863, 0.8431249856948853]",0.21292797476053238
2431,0,"[153.19000244140625, 59.84000015258789]","[0.6322500109672546, 0.8429999351501465]",0.23396079242229462
2473,1,"[467.1499938964844, 330.010009765625]","[0.4634062647819519, 0.6178749799728394]",0.7404395026319167
2473,0,"[308.4750061035156, 167.90499877929688]","[0.8093124628067017, 1.0790833234786987]",0.8373967935057247
2532,0,"[233.21499633789062, 389.2099914550781]","[0.7849687337875366, 1.046625018119812]",0.8541657784405876
2685,3,"[249.75999450683594, 155.92999267578125]","[0.825499951839447, 1.1006666421890259]",0.5261510163545609
2685,2,"[118.80000305175781, 383.7699890136719]","[1.5485625267028809, 2.0647499561309814]",0.7526308543541852
2685,4,"[503.989990234375, 175.35000610351562]","[1.5737812519073486, 2.098374843597412]",0.7712950127966264
2685,5,"[338.4849853515625, 339.6000061035156]","[2.2109375, 2.9479167461395264]",0.78623508179889
2685,1,"[367.635009765625, 220.96499633789062]","[1.1445468664169312, 1.5260624885559082]",0.7982865782345042
2685,0,"[476.54998779296875, 247.69000244140625]","[2.012624979019165, 2.683500051498413]",0.8081652732456431
3156,0,"[184.72500610351562, 325.2699890136719]","[2.9007186889648438, 3.8676249980926514]",0.7843896781696993
3553,0,"[286.2550048828125, 153.9600067138672]","[1.6624374389648438, 2.216583251953125]",0.39144471950001186
3934,4,"[217.4949951171875, 169.05499267578125]","[0.5893593430519104, 0.785812497138977]",0.5424361965235542
3934,2,"[124.44000244140625, 128.47500610351562]","[0.38112497329711914, 0.5081666707992554]",0.6754577171344024
3934,1,"[310.2799987792969, 169.17999267578125]","[0.34575000405311584, 0.4610000252723694]",0.6947868426640829
3934,0,"[66.46499633789062, 195.9499969482422]","[1.1349375247955322, 1.5132499933242798]",0.7050557206658756
3934,3,"[178.02999877929688, 153.76499938964844]","[0.6653906106948853, 0.8871874809265137]",0.7727640656863942
3934,5,"[134.58999633789062, 307.2349853515625]","[1.482515573501587, 1.9766874313354492]",0.8283005952835083
4134,6,"[283.7449951171875, 227.44000244140625]","[0.3878437280654907, 0.5171250104904175]",0.3338507078588009
4134,9,"[595.155029296875, 286.7850036621094]","[1.2863905429840088, 1.715187430381775]",0.4508065721567939
4134,7,"[210.27999877929688, 186.5399932861328]","[0.6332812309265137, 0.84437495470047]",0.5158877452214559
4134,10,"[363.8900146484375, 168.1699981689453]","[0.29296875, 0.390625]",0.5811496067505616
4134,8,"[251.23500061035156, 167.4149932861328]","[0.35657811164855957, 0.4754374921321869]",0.6012041648228963
4134,5,"[34.834999084472656, 189.74000549316406]","[0.7429687976837158, 0.9906250238418579]",0.6848131137735703
4134,4,"[606.0499877929688, 210.82000732421875]","[0.9780000448226929, 1.3040000200271606]",0.7336902302854201
4134,1,"[181.44000244140625, 231.63999938964844]","[1.7502187490463257, 2.333624839782715]",0.7480231798612155
4134,3,"[498.04998779296875, 144.7449951171875]","[0.35750001668930054, 0.476666659116745]",0.8097080215811729
4134,0,"[410.1700134277344, 232.52999877929688]","[2.1664998531341553, 2.8886666297912598]",0.8235126366982093
4134,2,"[318.010009765625, 196.1699981689453]","[0.683343768119812, 0.9111250042915344]",0.8298218285336214
4395,0,"[212.72000122070312, 319.5]","[2.9818124771118164, 3.975749969482422]",0.6701868971188863
4765,0,"[307.31500244140625, 255.59500122070312]","[1.2074531316757202, 1.6099375486373901]",0.8456527345320758
5001,4,"[153.36000061035156, 175.02499389648438]","[0.8773593902587891, 1.169812560081482]",0.5611258720358213
5001,2,"[133.39999389648438, 361.69000244140625]","[1.0980937480926514, 1.4641250371932983]",0.6386173262315638
5001,8,"[272.7850036621094, 184.4149932861328]","[0.9000468850135803, 1.2000625133514404]",0.6533463895320892
5001,3,"[94.09500122070312, 284.364990234375]","[1.7689218521118164, 2.358562469482422]",0.6837508713497835
5001,0,"[39.40999984741211, 116.80500030517578]","[0.7891405820846558, 1.0521875619888306]",0.6913129240274429
5001,10,"[469.67999267578125, 100.2699966430664]","[0.5563125014305115, 0.7417500019073486]",0.7124500796198845
5001,12,"[252.31500244140625, 135.14999389648438]","[0.6923437714576721, 0.9231250286102295]",0.7159352712333202
5001,7,"[325.7200012207031, 93.24500274658203]","[0.4042031168937683, 0.538937509059906]",0.7203787453472614
5001,6,"[210.8800048828125, 107.80000305175781]","[0.7194375395774841, 0.9592500329017639]",0.7475423948331312
5001,11,"[446.6000061035156, 57.744998931884766]","[0.3290156126022339, 0.4386875033378601]",0.7501539843423026
5001,5,"[92.6500015258789, 100.03500366210938]","[0.5230000019073486, 0.6973333358764648]",0.7574950286320278
5001,1,"[288.5799865722656, 367.32000732421875]","[1.0469999313354492, 1.3959999084472656]",0.7637743073351243
5001,9,"[435.81500244140625, 280.489990234375]","[1.7699999809265137, 2.3600001335144043]",0.827352457186755
5037,0,"[217.36500549316406, 176.58999633789062]","[0.3269374966621399, 0.4359166622161865]",0.5085006998135493
5037,1,"[631.02001953125, 288.8699951171875]","[0.672374963760376, 0.8964999914169312]",0.6453667730093002
5060,0,"[241.27000427246094, 403.45001220703125]","[1.0260000228881836, 1.3680000305175781]",0.8870442474589628
5193,1,"[109.80999755859375, 254.5]","[1.5442500114440918, 2.059000015258789]",0.5260388225317001
5193,2,"[241.76499938964844, 124.58499908447266]","[0.5716406106948853, 0.7621874809265137]",0.6458714574575424
5193,4,"[348.81500244140625, 285.7449951171875]","[1.0687031745910645, 1.4249374866485596]",0.6518238663673401
5193,0,"[192.86000061035156, 253.63999938964844]","[1.3144686222076416, 1.7526249885559082]",0.6615839173396428
5193,3,"[478.55999755859375, 193.5850067138672]","[1.265625, 1.6875]",0.6661017388105392
5193,5,"[423.07000732421875, 297.0]","[0.7876250147819519, 1.0501666069030762]",0.7342023115891677
5529,0,"[167.0500030517578, 282.82501220703125]","[1.5593905448913574, 2.0791873931884766]",0.886818479089176
5586,1,"[164.9949951171875, 197.22000122070312]","[0.42368751764297485, 0.5649166703224182]",0.7399988397955894
5586,0,"[158.72999572753906, 114.55999755859375]","[0.4187812805175781, 0.5583750009536743]",0.8253550354172202
6460,0,"[304.2749938964844, 171.94500732421875]","[0.33531248569488525, 0.44708335399627686]",0.517275189049542
6471,6,"[42.459999084472656, 122.57499694824219]","[0.3113749921321869, 0.4151666462421417]",0.6519730746746063
6471,5,"[238.5850067138672, 102.7699966430664]","[0.28843748569488525, 0.38458332419395447]",0.6867791989019939
6471,7,"[71.19999694824219, 232.38999938964844]","[0.8487187623977661, 1.1316250562667847]",0.7530276039067436
6471,3,"[195.13499450683594, 102.36499786376953]","[0.3226875066757202, 0.43024998903274536]",0.7680030167102814
6471,4,"[430.70001220703125, 86.33499908447266]","[0.5446249842643738, 0.7261666655540466]",0.7767536621540785
6471,1,"[163.75999450683594, 254.19000244140625]","[0.9549999833106995, 1.2733333110809326]",0.7931319282335394
6471,2,"[119.83499908447266, 105.4749984741211]","[0.40956252813339233, 0.5460833311080933]",0.8498277386029561
6471,0,"[304.875, 186.86500549316406]","[1.0872656106948853, 1.4496874809265137]",0.889728167477776
6763,0,"[206.09500122070312, 296.8949890136719]","[1.582687497138977, 2.1102499961853027]",0.6388012216641352
6763,2,"[23.770000457763672, 273.44500732421875]","[0.5679843425750732, 0.7573124766349792]",0.6700004160404205
6763,1,"[119.12000274658203, 285.5799865722656]","[1.78725004196167, 2.382999897003174]",0.7110287866422108
6771,2,"[143.61000061035156, 267.010009765625]","[0.9868749976158142, 1.315833330154419]",0.5088353795664651
6771,7,"[151.57000732421875, 186.6750030517578]","[0.6188749670982361, 0.8251667022705078]",0.5104557573795319
6771,4,"[478.31500244140625, 291.2049865722656]","[1.2637031078338623, 1.6849374771118164]",0.5472763304909071
6771,1,"[123.76000213623047, 210.60000610351562]","[1.9743750095367432, 2.632499933242798]",0.5989888500083577
6771,5,"[586.7349853515625, 291.67999267578125]","[1.1782500743865967, 1.571000099182129]",0.6611607190635469
6771,3,"[433.385009765625, 179.66000366210938]","[0.5804374814033508, 0.7739167213439941]",0.6637831628322601
6771,0,"[585.7750244140625, 227.39500427246094]","[0.9353905916213989, 1.2471874952316284]",0.7045509330928326
6771,6,"[312.5350036621094, 263.25]","[1.5625624656677246, 2.083416700363159]",0.7572261214256286
6894,0,"[466.19500732421875, 249.7449951171875]","[2.160062551498413, 2.8800833225250244]",0.7103829871524464
6954,3,"[206.13499450683594, 233.0399932861328]","[0.9033750295639038, 1.2044999599456787]",0.7220920287072659
6954,0,"[82.0199966430664, 280.489990234375]","[1.6183124780654907, 2.157749891281128]",0.7514551607891917
6954,2,"[405.7799987792969, 232.88999938964844]","[0.7672500014305115, 1.0230000019073486]",0.7606002874672413
6954,1,"[282.6449890136719, 247.5850067138672]","[1.1582343578338623, 1.5443124771118164]",0.7713698665301005
6954,4,"[499.0950012207031, 251.36500549316406]","[1.7488124370574951, 2.33174991607666]",0.8503949747366064
7088,0,"[227.4149932861328, 334.864990234375]","[1.1872968673706055, 1.5830625295639038]",0.8830758999375736
7278,0,"[250.2050018310547, 106.3550033569336]","[0.7553125023841858, 1.0070834159851074]",0.6199231604735057
7281,2,"[16.575000762939453, 247.89500427246094]","[0.20873436331748962, 0.2783125042915344]",0.7171926935513814
7281,1,"[495.9150085449219, 158.5800018310547]","[0.38231250643730164, 0.5097500085830688]",0.7501465517740983
7281,0,"[408.55499267578125, 215.6699981689453]","[0.7963124513626099, 1.0617499351501465]",0.8789193489972282
7511,0,"[447.1400146484375, 355.9949951171875]","[1.0823906660079956, 1.4431874752044678]",0.8606877695111668
7816,3,"[447.385009765625, 148.9949951171875]","[0.39381250739097595, 0.5250833034515381]",0.5643755421042442
7816,1,"[575.489990234375, 116.04499816894531]","[0.5340468883514404, 0.7120624780654907]",0.652183802688823
7816,0,"[504.75, 109.08999633789062]","[0.4951874911785126, 0.6602499485015869]",0.6638534042765113
7816,2,"[600.905029296875, 116.43499755859375]","[0.6479531526565552, 0.863937497138977]",0.6642533716033486
7816,6,"[363.135009765625, 177.05499267578125]","[1.1463124752044678, 1.5284167528152466]",0.7261927636230693
7816,4,"[524.3099975585938, 108.55000305175781]","[0.5206875205039978, 0.6942499876022339]",0.8299583056393791
7816,5,"[269.1600036621094, 88.62000274658203]","[0.5111249685287476, 0.6814999580383301]",0.8936431933851803
7977,0,"[183.05999755859375, 282.30999755859375]","[1.2874687910079956, 1.7166249752044678]",0.879254351643955
8021,0,"[155.71499633789062, 366.5299987792969]","[1.9059374332427979, 2.541249990463257]",0.3784583490341902
8021,1,"[537.1649780273438, 382.1050109863281]","[1.272937536239624, 1.6972500085830688]",0.4081982395478657
8021,2,"[342.2799987792969, 234.1199951171875]","[1.2464063167572021, 1.6618750095367432]",0.850266131070944
8211,1,"[367.7300109863281, 277.9949951171875]","[0.7012031078338623, 0.9349375367164612]",0.862933495465447
8211,0,"[444.9200134277344, 262.9100036621094]","[0.7634062170982361, 1.0178749561309814]",0.8812435199232662
8532,0,"[397.44500732421875, 217.2949981689453]","[3.019437551498413, 4.025916576385498]",0.8985351664679391
8690,3,"[508.0849914550781, 431.8599853515625]","[1.6049374341964722, 2.1399166584014893]",0.34924339689314365
8690,2,"[124.59500122070312, 155.69500732421875]","[1.362328052520752, 1.8164374828338623]",0.6779006894897012
8690,1,"[400.7550048828125, 234.64500427246094]","[1.5121406316757202, 2.0161874294281006]",0.769531620045503
8690,0,"[243.61000061035156, 207.22000122070312]","[1.7683124542236328, 2.3577499389648438]",0.7963711977005005
8844,1,"[354.0350036621094, 216.85000610351562]","[0.28453123569488525, 0.37937498092651367]",0.6715487795216697
8844,0,"[468.385009765625, 167.3249969482422]","[1.399437427520752, 1.8659167289733887]",0.763776421546936
9378,1,"[350.5150146484375, 361.5]","[0.5335624814033508, 0.7114166617393494]",0.5126493036746979
9378,4,"[513.5449829101562, 355.75]","[0.31987500190734863, 0.42649999260902405]",0.5895848833024502
9378,3,"[556.35498046875, 334.7799987792969]","[0.3814375102519989, 0.5085833072662354]",0.6152725163847208
9378,2,"[452.2049865722656, 362.75]","[0.33956247568130493, 0.45274999737739563]",0.6698783367872239
9378,0,"[269.4800109863281, 218.68499755859375]","[2.533249855041504, 3.377666711807251]",0.7481077909469604
9400,7,"[496.6650085449219, 144.9499969482422]","[0.7143750190734863, 0.95250004529953]",0.40581173325578374
9400,3,"[588.2999877929688, 85.2750015258789]","[0.3500156104564667, 0.46668750047683716]",0.49306797981262207
9400,4,"[52.89500045776367, 143.47000122070312]","[0.6341875195503235, 0.8455833196640015]",0.6410651195507783
9400,2,"[543.4500122070312, 226.8300018310547]","[1.2896250486373901, 1.719499945640564]",0.6829314636332648
9400,6,"[321.114990234375, 129.26499938964844]","[0.6429843902587891, 0.8573125600814819]",0.6940892934799194
9400,5,"[581.0, 442.1300048828125]","[0.7249999642372131, 0.9666666388511658]",0.7033202946186066
9400,0,"[213.2050018310547, 181.02499389648438]","[0.8465625047683716, 1.128749966621399]",0.7260045225803669
9400,1,"[385.8699951171875, 179.89500427246094]","[0.9220000505447388, 1.2293334007263184]",0.7352383633454641
9448,0,"[254.6699981689453, 366.0450134277344]","[2.4810469150543213, 3.3080625534057617]",0.7946171797811985
9483,0,"[106.29000091552734, 270.7300109863281]","[1.9525312185287476, 2.60337495803833]",0.9140486156239229
9590,4,"[302.6199951171875, 384.2550048828125]","[0.7429999709129333, 0.9906666874885559]",0.5152611136436462
9590,5,"[576.2000122070312, 197.77499389648438]","[0.8235468864440918, 1.098062515258789]",0.62436110774676
9590,1,"[290.7250061035156, 214.9199981689453]","[0.3955624997615814, 0.5274166464805603]",0.6742392803231875
9590,3,"[414.2049865722656, 217.125]","[0.5330625176429749, 0.7107499837875366]",0.6759980664803431
9590,2,"[118.00499725341797, 239.38999938964844]","[1.7494688034057617, 2.332624912261963]",0.714773694674174
9590,0,"[183.27499389648438, 224.07000732421875]","[0.6427499651908875, 0.8569999933242798]",0.791003997127215
9769,0,"[160.89999389648438, 237.125]","[0.341671884059906, 0.4555625021457672]",0.6129726561216208
9772,0,"[303.8949890136719, 293.20001220703125]","[0.5832187533378601, 0.7776249647140503]",0.8164971155278823
9891,0,"[281.4750061035156, 254.02999877929688]","[1.5137813091278076, 2.0183749198913574]",0.817865145557067
9891,1,"[139.09500122070312, 195.5800018310547]","[0.8460000157356262, 1.128000020980835]",0.8180274998440462
10707,1,"[409.2300109863281, 319.4200134277344]","[1.23646879196167, 1.6486250162124634]",0.747168060611276
10707,2,"[511.32000732421875, 237.34500122070312]","[2.204859495162964, 2.939812660217285]",0.7991195391206181
10707,0,"[312.1449890136719, 302.0450134277344]","[1.448203206062317, 1.9309375286102295]",0.8865502091015086
10764,0,"[350.57501220703125, 237.69000244140625]","[1.6505624055862427, 2.2007498741149902]",0.771937403608771
11051,1,"[200.0500030517578, 264.489990234375]","[2.4570000171661377, 3.2760000228881836]",0.7279687772194544
11051,0,"[441.54998779296875, 306.0450134277344]","[2.402750015258789, 3.2036666870117188]",0.869864624280196
11149,0,"[37.084999084472656, 62.0]","[0.5456250309944153, 0.7275000214576721]",0.6065761715173721
11149,1,"[458.06500244140625, 158.2050018310547]","[1.4687345027923584, 1.9583125114440918]",0.7402245402336121
11197,2,"[309.8999938964844, 186.68499755859375]","[0.5425781607627869, 0.7234375476837158]",0.6882720905191758
11197,1,"[30.440000534057617, 149.18499755859375]","[0.3395156264305115, 0.45268750190734863]",0.74293481026377
11197,0,"[335.8500061035156, 182.03500366210938]","[0.6563906669616699, 0.8751875162124634]",0.8364689946174622
11511,3,"[31.545000076293945, 132.50999450683594]","[0.7573124766349792, 1.0097500085830688]",0.5123994786005753
11511,2,"[60.0, 116.91999816894531]","[0.6789374947547913, 0.9052500128746033]",0.6789429319255492
11511,1,"[164.22000122070312, 101.83999633789062]","[0.6526874899864197, 0.8702499866485596]",0.7137275793973137
11511,0,"[109.70500183105469, 113.80999755859375]","[0.7050937414169312, 0.9401249885559082]",0.8037282579085406
11699,2,"[30.90999984741211, 273.92498779296875]","[0.31837499141693115, 0.4244999885559082]",0.684667342238956
11699,0,"[309.4100036621094, 365.625]","[2.4952969551086426, 3.3270623683929443]",0.8202789618688471
11699,1,"[141.47999572753906, 250.30999755859375]","[1.569656252861023, 2.0928750038146973]",0.8748566920940692
12120,0,"[32.20500183105469, 273.1300048828125]","[0.3544375002384186, 0.4725833237171173]",0.7283791583031416
12120,1,"[514.155029296875, 265.7349853515625]","[0.5394843816757202, 0.7193124890327454]",0.7847348960006938
12280,0,"[167.66000366210938, 305.1499938964844]","[0.5982187390327454, 0.7976250648498535]",0.7048240987693563
12576,0,"[239.125, 82.88500213623047]","[0.6342656016349792, 0.8456874489784241]",0.7480931324618203
12639,2,"[83.50499725341797, 201.42999267578125]","[0.2683125138282776, 0.3577499985694885]",0.6864841843352598
12639,1,"[64.43000030517578, 228.1699981689453]","[0.5106250047683716, 0.6808333396911621]",0.7239230608238894
12639,5,"[122.2300033569336, 220.34500122070312]","[0.29112499952316284, 0.3881666660308838]",0.7770715110442218
12639,0,"[101.61000061035156, 432.67498779296875]","[1.1481093168258667, 1.5308125019073486]",0.7861132113372579
12639,3,"[185.02999877929688, 196.81500244140625]","[0.3121406137943268, 0.41618749499320984]",0.7999752900179695
12639,6,"[257.54998779296875, 361.17498779296875]","[1.467703104019165, 1.9569374322891235]",0.8952449384857627
12639,4,"[438.875, 208.48500061035156]","[0.7825781106948853, 1.0434374809265137]",0.9258896287749795
12670,11,"[447.69500732421875, 227.44500732421875]","[0.6084843873977661, 0.8113124966621399]",0.4626856920394031
12670,6,"[97.08999633789062, 328.9800109863281]","[0.9189374446868896, 1.225250005722046]",0.5122682482004166
12670,12,"[372.42498779296875, 120.79000091552734]","[0.44240623712539673, 0.5898749828338623]",0.6040806695818901
12670,3,"[438.55999755859375, 316.4100036621094]","[0.9104999899864197, 1.2139999866485596]",0.6090066077617499
12670,2,"[388.54998779296875, 355.364990234375]","[0.6729999780654907, 0.8973333239555359]",0.6153817415237427
12670,5,"[208.22000122070312, 342.0899963378906]","[0.9233749508857727, 1.2311666011810303]",0.6306435035334693
12670,4,"[300.7950134277344, 344.7200012207031]","[0.7773125171661377, 1.0364166498184204]",0.6365408482296127
12670,7,"[34.685001373291016, 344.1199951171875]","[0.7273125052452087, 0.9697499871253967]",0.6555555574595928
12670,1,"[539.0599975585938, 152.1300048828125]","[0.46021875739097595, 0.6136249899864197]",0.6793924098213514
12670,9,"[257.1449890136719, 247.27000427246094]","[0.8528437614440918, 1.137125015258789]",0.7326565247315627
12670,10,"[353.7349853515625, 215.64500427246094]","[0.4805624783039093, 0.640749990940094]",0.7501757889986038
12670,0,"[301.5050048828125, 143.77000427246094]","[0.9149999618530273, 1.2200000286102295]",0.8467787609380835
12670,8,"[149.8699951171875, 207.97000122070312]","[0.8385937809944153, 1.1181249618530273]",0.8614789797709539
12748,0,"[348.0849914550781, 410.1050109863281]","[2.078484535217285, 2.771312713623047]",0.5353785883635283
12748,1,"[349.9949951171875, 384.93499755859375]","[2.3092031478881836, 3.078937530517578]",0.5796759707086226
13177,0,"[458.5, 236.40499877929688]","[1.9580000638961792, 2.6106667518615723]",0.7996723055839539
13201,0,"[205.97999572753906, 298.1499938964844]","[1.9796249866485596, 2.6394999027252197]",0.878370092195623
13291,3,"[201.3699951171875, 201.3699951171875]","[0.6071250438690186, 0.809499979019165]",0.8084611717392417
13291,1,"[278.135009765625, 208.49000549316406]","[0.6849375367164612, 0.9132499694824219]",0.808714466936448
13291,0,"[393.2200012207031, 218.9949951171875]","[1.3111250400543213, 1.7481666803359985]",0.8886173051946303
13291,2,"[103.38500213623047, 182.05999755859375]","[1.0857187509536743, 1.4476250410079956]",0.8950365150676054
13546,0,"[522.3900146484375, 131.0050048828125]","[1.1861718893051147, 1.5815625190734863]",0.8965593751739053
13659,3,"[578.3200073242188, 157.1300048828125]","[0.7639687657356262, 1.018625020980835]",0.6153643699362874
13659,0,"[265.3999938964844, 347.5899963378906]","[1.4167499542236328, 1.8889999389648438]",0.699153259396553
13659,2,"[396.0299987792969, 179.23500061035156]","[0.8083750009536743, 1.0778332948684692]",0.7498381453401902
13659,1,"[448.760009765625, 79.86000061035156]","[0.6576562523841858, 0.8768749833106995]",0.7810078998406728
13729,3,"[190.4199981689453, 210.9149932861328]","[1.229015588760376, 1.6386876106262207]",0.7885945369215572
13729,0,"[293.9700012207031, 219.0050048828125]","[1.436296820640564, 1.9150625467300415]",0.8176607699955211
13729,1,"[424.8349914550781, 242.75]","[1.768875002861023, 2.3585000038146973]",0.8691335706149831
13729,2,"[168.8800048828125, 281.8699951171875]","[1.8028125762939453, 2.403749942779541]",0.9105318258790409
13774,0,"[285.489990234375, 324.6099853515625]","[0.3999375104904175, 0.5332500338554382]",0.8489891501034007
14226,0,"[374.635009765625, 200.0399932861328]","[2.074812412261963, 2.766416549682617]",0.7446265002091725
14439,1,"[283.125, 128.88499450683594]","[0.36623436212539673, 0.4883125126361847]",0.7982793415293974
14439,4,"[181.3300018310547, 124.0250015258789]","[0.39332810044288635, 0.5244374871253967]",0.8100958308752846
14439,3,"[595.7000122070312, 155.03500366210938]","[0.3990468680858612, 0.5320625305175781]",0.8631877022631028
14439,0,"[459.7900085449219, 188.7899932861328]","[0.9272812604904175, 1.2363749742507935]",0.874848765485427
14439,2,"[551.1900024414062, 192.39999389648438]","[0.734250009059906, 0.9790000319480896]",0.8850417663069332
15335,5,"[578.4849853515625, 91.56999969482422]","[0.6596249938011169, 0.8794999718666077]",0.2829948216676712
15335,7,"[198.88499450683594, 108.5250015258789]","[0.48118752241134644, 0.6415833234786987]",0.29498301446437836
15335,6,"[426.94000244140625, 109.0199966430664]","[1.0413750410079956, 1.3884999752044678]",0.39642165042459965
15335,4,"[533.0349731445312, 99.5199966430664]","[0.601312518119812, 0.8017499446868896]",0.4154714219845258
15335,2,"[286.7699890136719, 99.50499725341797]","[0.6165000200271606, 0.8219999670982361]",0.5080981701612473
15335,0,"[502.4599914550781, 243.80499267578125]","[2.14439058303833, 2.859187364578247]",0.6601710489818028
15335,3,"[107.06500244140625, 259.5]","[1.7588437795639038, 2.3451249599456787]",0.714482117157716
