,average,sd,score
val2017/000000149375.jpg,49.585,40.69,0.87
val2017/000000491725.jpg,55.125,41.732,0.0
val2017/000000195754.jpg,54.138,47.754,0.521
val2017/000000063965.jpg,52.856,52.869,0.476
val2017/000000580197.jpg,50.396,32.319,0.788
val2017/000000157365.jpg,49.355,46.24,0.919
val2017/000000482436.jpg,51.508,62.774,0.739
val2017/000000067213.jpg,50.137,47.631,0.772
val2017/000000297353.jpg,54.227,48.471,0.892
val2017/000000194875.jpg,48.514,48.517,0.749
val2017/000000502737.jpg,53.709,50.792,0.451
val2017/000000466416.jpg,52.032,45.361,0.12
val2017/000000569825.jpg,52.941,45.9,0.77
val2017/000000210099.jpg,53.768,64.663,0.097
val2017/000000519764.jpg,61.158,60.818,0.001
val2017/000000579655.jpg,51.941,50.934,0.805
val2017/000000462643.jpg,56.156,47.154,0.36
val2017/000000001353.jpg,57.504,39.948,0.637
val2017/000000560312.jpg,52.56,60.079,0.008
val2017/000000167486.jpg,52.77,59.391,0.852
val2017/000000343976.jpg,54.689,55.996,0.052
val2017/000000122217.jpg,56.335,52.815,0.777
val2017/000000433915.jpg,52.286,68.121,0.7
val2017/000000565469.jpg,54.017,74.372,0.0
val2017/000000233139.jpg,55.661,44.44,0.0
val2017/000000519208.jpg,55.955,39.722,0.746
val2017/000000133343.jpg,55.347,57.045,0.635
val2017/000000234807.jpg,60.411,28.935,0.0
val2017/000000442993.jpg,58.589,40.983,0.041
val2017/000000262631.jpg,54.997,42.76,0.616
val2017/000000321214.jpg,56.26,36.403,0.801
val2017/000000119516.jpg,55.543,34.058,0.848
val2017/000000009400.jpg,55.465,65.252,0.725
val2017/000000321887.jpg,57.7,45.974,0.171
val2017/000000212453.jpg,52.751,42.614,0.464
val2017/000000160556.jpg,53.668,50.231,0.678
val2017/000000297681.jpg,56.836,56.566,0.045
val2017/000000147415.jpg,56.678,65.232,0.521
val2017/000000223747.jpg,54.827,58.619,0.376
val2017/000000316404.jpg,54.756,78.907,0.843
val2017/000000151938.jpg,55.817,74.249,0.613
val2017/000000059044.jpg,54.6,53.028,0.81
val2017/000000172946.jpg,54.141,41.415,0.811
val2017/000000474170.jpg,63.707,17.776,0.001
val2017/000000074092.jpg,58.465,40.585,0.896
val2017/000000213035.jpg,54.339,67.94,0.458
val2017/000000235778.jpg,58.02,55.903,0.717
val2017/000000520707.jpg,59.359,41.999,0.891
val2017/000000071756.jpg,54.99,51.764,0.002
val2017/000000197870.jpg,58.432,70.896,0.812
val2017/000000111036.jpg,54.154,53.506,0.0
val2017/000000031118.jpg,57.319,51.481,0.814
val2017/000000040757.jpg,56.951,56.203,0.633
val2017/000000351589.jpg,58.359,52.205,0.0
val2017/000000226662.jpg,55.438,55.302,0.385
val2017/000000562243.jpg,53.065,30.338,0.796
val2017/000000533145.jpg,59.181,44.421,0.36
val2017/000000166166.jpg,56.272,51.449,0.651
val2017/000000425361.jpg,58.796,68.283,0.736
val2017/000000066231.jpg,57.732,72.918,0.849
val2017/000000336658.jpg,50.692,47.408,0.653
val2017/000000136633.jpg,59.052,62.365,0.876
val2017/000000292488.jpg,56.27,33.08,0.626
val2017/000000161609.jpg,58.734,57.805,0.803
val2017/000000413247.jpg,57.031,51.251,0.329
val2017/000000556193.jpg,60.305,53.665,0.813
val2017/000000048564.jpg,55.38,71.449,0.768
val2017/000000009378.jpg,61.199,73.058,0.8
val2017/000000188689.jpg,56.965,41.692,0.312
val2017/000000140420.jpg,63.832,46.752,0.196
val2017/000000200421.jpg,57.46,49.543,0.705
val2017/000000047801.jpg,59.499,69.382,0.848
val2017/000000300039.jpg,58.465,70.907,0.245
val2017/000000073153.jpg,62.95,46.039,0.835
val2017/000000239318.jpg,64.753,60.438,0.001
val2017/000000294162.jpg,58.695,68.42,0.001
val2017/000000427256.jpg,60.67,52.757,0.852
val2017/000000346707.jpg,60.557,26.28,0.004
val2017/000000333697.jpg,60.653,69.374,0.0
val2017/000000463918.jpg,60.221,55.356,0.819
val2017/000000509131.jpg,60.802,43.437,0.0
val2017/000000512776.jpg,59.979,52.358,0.698
val2017/000000244496.jpg,58.666,46.277,0.815
val2017/000000121506.jpg,58.698,63.543,0.082
val2017/000000180560.jpg,58.841,65.38,0.709
val2017/000000581482.jpg,58.691,62.219,0.001
val2017/000000018193.jpg,59.757,64.107,0.797
val2017/000000289415.jpg,61.113,64.139,0.58
val2017/000000180878.jpg,59.195,69.778,0.0
val2017/000000334399.jpg,58.672,84.382,0.882
val2017/000000127660.jpg,56.673,31.494,0.718
val2017/000000161032.jpg,61.254,54.027,0.621
val2017/000000549930.jpg,59.252,41.549,0.805
val2017/000000486438.jpg,61.907,40.27,0.389
val2017/000000386879.jpg,61.449,36.025,0.788
val2017/000000361506.jpg,66.575,36.1,0.764
val2017/000000293804.jpg,63.247,55.145,0.171
val2017/000000421834.jpg,67.237,41.489,0.005
val2017/000000080022.jpg,60.383,35.321,0.895
val2017/000000014888.jpg,62.344,50.411,0.001
val2017/000000133645.jpg,61.957,41.596,0.078
val2017/000000456303.jpg,61.814,90.831,0.446
val2017/000000283037.jpg,62.582,49.898,0.018
val2017/000000048924.jpg,61.695,52.441,0.001
val2017/000000220310.jpg,62.417,60.699,0.005
val2017/000000303713.jpg,60.446,60.719,0.871
val2017/000000558558.jpg,61.898,57.986,0.251
val2017/000000403817.jpg,63.951,77.87,0.015
val2017/000000154339.jpg,51.304,49.114,0.147
val2017/000000559543.jpg,62.138,49.461,0.842
val2017/000000288862.jpg,61.891,48.583,0.707
val2017/000000036660.jpg,63.298,33.177,0.36
val2017/000000010363.jpg,61.275,37.503,0.018
val2017/000000443498.jpg,60.777,62.633,0.044
val2017/000000038829.jpg,65.659,51.335,0.84
val2017/000000084170.jpg,61.206,43.404,0.513
val2017/000000481573.jpg,60.338,74.955,0.838
val2017/000000415238.jpg,64.385,22.496,0.0
val2017/000000416269.jpg,68.329,62.335,0.439
val2017/000000483667.jpg,62.483,63.003,0.767
val2017/000000100283.jpg,66.617,54.7,0.066
val2017/000000302882.jpg,61.287,60.921,0.818
val2017/000000178028.jpg,65.955,61.212,0.015
val2017/000000277020.jpg,61.325,80.814,0.719
val2017/000000492758.jpg,62.744,49.544,0.785
val2017/000000213255.jpg,63.007,58.945,0.776
val2017/000000237071.jpg,62.285,33.346,0.914
val2017/000000194832.jpg,62.412,71.489,0.291
val2017/000000497628.jpg,61.927,57.408,0.281
val2017/000000259597.jpg,65.373,75.277,0.727
val2017/000000025394.jpg,63.722,55.348,0.791
val2017/000000312552.jpg,61.047,28.83,0.798
val2017/000000319607.jpg,61.52,70.29,0.768
val2017/000000034071.jpg,61.031,67.044,0.001
val2017/000000425906.jpg,61.914,59.615,0.685
val2017/000000491366.jpg,62.562,54.428,0.692
val2017/000000005001.jpg,61.301,75.354,0.758
val2017/000000306139.jpg,63.372,52.662,0.73
val2017/000000006763.jpg,63.186,47.008,0.821
val2017/000000113051.jpg,63.227,82.127,0.019
val2017/000000403584.jpg,66.943,55.411,0.771
val2017/000000402118.jpg,62.825,49.196,0.89
val2017/000000438876.jpg,66.704,65.148,0.813
val2017/000000162035.jpg,62.677,34.897,0.675
val2017/000000412286.jpg,63.857,42.198,0.925
val2017/000000133087.jpg,66.668,65.791,0.141
val2017/000000473869.jpg,65.112,45.538,0.784
val2017/000000461275.jpg,73.465,53.432,0.202
val2017/000000224807.jpg,63.707,56.735,0.836
val2017/000000088970.jpg,67.446,52.588,0.911
val2017/000000419974.jpg,66.369,43.445,0.812
val2017/000000309678.jpg,70.439,40.278,0.467
val2017/000000049269.jpg,67.3,57.862,0.001
val2017/000000411774.jpg,65.949,44.338,0.698
val2017/000000291490.jpg,60.396,57.899,0.398
val2017/000000022755.jpg,66.819,46.313,0.016
val2017/000000440475.jpg,67.299,53.836,0.775
val2017/000000396580.jpg,68.142,50.805,0.039
val2017/000000453708.jpg,66.889,72.259,0.776
val2017/000000130699.jpg,67.071,26.251,0.906
val2017/000000218362.jpg,68.378,60.175,0.01
val2017/000000416885.jpg,72.163,53.183,0.473
val2017/000000263068.jpg,66.956,69.279,0.81
val2017/000000462031.jpg,64.508,90.062,0.679
val2017/000000016958.jpg,66.028,46.905,0.007
val2017/000000415536.jpg,66.037,55.875,0.505
val2017/000000389933.jpg,73.848,30.501,0.069
val2017/000000287667.jpg,65.033,54.195,0.022
val2017/000000045550.jpg,69.13,66.19,0.777
val2017/000000284991.jpg,64.559,56.823,0.745
val2017/000000185890.jpg,66.672,46.337,0.911
val2017/000000263299.jpg,70.878,62.567,0.001
val2017/000000084674.jpg,68.803,48.096,0.837
val2017/000000524108.jpg,64.429,65.096,0.009
val2017/000000312263.jpg,65.009,69.093,0.009
val2017/000000042889.jpg,63.22,70.137,0.009
val2017/000000446651.jpg,64.878,59.726,0.752
val2017/000000471893.jpg,66.33,44.435,0.822
val2017/000000033005.jpg,65.193,58.644,0.903
val2017/000000021167.jpg,64.937,47.466,0.861
val2017/000000397133.jpg,68.17,53.114,0.82
val2017/000000117492.jpg,67.921,49.391,0.899
val2017/000000454661.jpg,64.6,50.442,0.214
val2017/000000078170.jpg,65.626,54.844,0.683
val2017/000000087476.jpg,67.07,48.769,0.863
val2017/000000188465.jpg,72.075,53.512,0.816
val2017/000000052413.jpg,65.865,62.715,0.395
val2017/000000156924.jpg,68.808,57.719,0.803
val2017/000000146489.jpg,67.754,55.933,0.0
val2017/000000057597.jpg,72.834,40.445,0.87
val2017/000000009590.jpg,65.877,73.838,0.776
val2017/000000529148.jpg,68.823,62.616,0.564
val2017/000000304817.jpg,74.702,56.173,0.001
val2017/000000332845.jpg,66.264,67.563,0.69
val2017/000000416758.jpg,70.534,59.085,0.002
val2017/000000231747.jpg,67.429,60.833,0.643
val2017/000000533536.jpg,68.052,72.825,0.0
val2017/000000161008.jpg,68.898,39.227,0.0
val2017/000000004134.jpg,68.267,67.292,0.836
val2017/000000565391.jpg,67.676,58.953,0.003
val2017/000000121153.jpg,65.944,49.894,0.018
val2017/000000492937.jpg,66.918,66.456,0.576
val2017/000000256192.jpg,71.466,60.851,0.88
val2017/000000020992.jpg,72.122,51.722,0.69
val2017/000000402720.jpg,69.782,62.718,0.805
val2017/000000148662.jpg,73.393,67.834,0.684
val2017/000000442161.jpg,69.735,66.148,0.772
val2017/000000033638.jpg,70.094,54.974,0.818
val2017/000000558114.jpg,69.662,66.853,0.881
val2017/000000031322.jpg,69.424,47.495,0.366
val2017/000000048396.jpg,68.279,43.76,0.875
val2017/000000322944.jpg,68.359,58.379,0.677
val2017/000000150638.jpg,66.995,57.127,0.662
val2017/000000047585.jpg,71.591,56.12,0.858
val2017/000000381971.jpg,68.912,50.337,0.708
val2017/000000561679.jpg,68.619,61.954,0.004
val2017/000000532690.jpg,68.721,57.241,0.744
val2017/000000044068.jpg,72.63,44.815,0.001
val2017/000000393014.jpg,69.629,61.367,0.003
val2017/000000454404.jpg,62.404,50.193,0.796
val2017/000000060347.jpg,74.858,47.33,0.88
val2017/000000553731.jpg,68.908,55.907,0.732
val2017/000000494869.jpg,63.313,44.919,0.875
val2017/000000467176.jpg,70.254,43.913,0.685
val2017/000000100624.jpg,73.49,54.609,0.764
val2017/000000344100.jpg,69.26,60.407,0.043
val2017/000000069138.jpg,69.627,53.67,0.032
val2017/000000209222.jpg,68.826,60.671,0.795
val2017/000000560011.jpg,72.517,42.588,0.002
val2017/000000546976.jpg,67.137,57.049,0.81
val2017/000000167572.jpg,72.138,57.761,0.532
val2017/000000365098.jpg,70.017,29.708,0.001
val2017/000000449579.jpg,66.744,29.53,0.903
val2017/000000466125.jpg,71.938,52.91,0.831
val2017/000000304812.jpg,70.046,56.345,0.657
val2017/000000556000.jpg,73.868,75.014,0.85
val2017/000000306437.jpg,70.181,55.246,0.869
val2017/000000473237.jpg,74.457,56.796,0.819
val2017/000000246436.jpg,73.77,65.722,0.709
val2017/000000565012.jpg,69.165,55.537,0.0
val2017/000000018150.jpg,69.342,38.577,0.708
val2017/000000154644.jpg,70.309,66.815,0.739
val2017/000000463690.jpg,71.9,76.268,0.86
val2017/000000412531.jpg,73.662,61.058,0.008
val2017/000000227686.jpg,75.323,57.255,0.02
val2017/000000300341.jpg,71.806,41.344,0.834
val2017/000000395575.jpg,72.954,61.84,0.779
val2017/000000283785.jpg,72.739,64.312,0.846
val2017/000000095707.jpg,70.949,63.083,0.29
val2017/000000030828.jpg,76.784,57.192,0.003
val2017/000000352582.jpg,70.824,53.26,0.891
val2017/000000140286.jpg,76.138,57.877,0.626
val2017/000000194746.jpg,73.321,48.05,0.0
val2017/000000551815.jpg,70.85,28.403,0.0
val2017/000000152771.jpg,77.505,64.979,0.007
val2017/000000032861.jpg,64.623,60.074,0.796
val2017/000000177015.jpg,73.669,53.179,0.761
val2017/000000321118.jpg,72.96,59.734,0.002
val2017/000000166478.jpg,72.559,57.753,0.854
val2017/000000065736.jpg,70.618,21.262,0.928
val2017/000000190140.jpg,68.442,40.699,0.755
val2017/000000270677.jpg,77.041,58.347,0.888
val2017/000000482917.jpg,72.729,54.979,0.377
val2017/000000263425.jpg,73.927,54.71,0.832
val2017/000000163118.jpg,74.009,42.745,0.834
val2017/000000199310.jpg,82.183,72.811,0.893
val2017/000000461751.jpg,72.485,46.372,0.713
val2017/000000223955.jpg,77.667,49.97,0.769
val2017/000000577864.jpg,72.154,34.891,0.75
val2017/000000346905.jpg,86.073,54.602,0.001
val2017/000000264441.jpg,72.219,59.228,0.0
val2017/000000572303.jpg,70.201,74.559,0.005
val2017/000000054628.jpg,73.297,64.792,0.64
val2017/000000471023.jpg,81.001,43.795,0.744
val2017/000000209753.jpg,74.715,67.927,0.789
val2017/000000111207.jpg,73.865,68.666,0.831
val2017/000000019221.jpg,76.713,68.002,0.273
val2017/000000082807.jpg,75.516,77.916,0.042
val2017/000000512929.jpg,75.479,70.974,0.768
val2017/000000046048.jpg,75.185,39.897,0.686
val2017/000000250127.jpg,74.712,60.365,0.933
val2017/000000273642.jpg,72.448,52.78,0.017
val2017/000000380706.jpg,72.529,62.659,0.854
val2017/000000153229.jpg,81.279,59.398,0.841
val2017/000000143931.jpg,67.661,50.877,0.677
val2017/000000271471.jpg,83.489,48.372,0.63
val2017/000000420230.jpg,76.092,58.128,0.001
val2017/000000410510.jpg,76.917,50.774,0.882
val2017/000000099114.jpg,73.899,47.359,0.845
val2017/000000025603.jpg,75.318,68.172,0.764
val2017/000000084362.jpg,73.047,77.587,0.82
val2017/000000263966.jpg,75.653,67.764,0.046
val2017/000000192871.jpg,81.205,76.081,0.332
val2017/000000010764.jpg,80.378,39.511,0.782
val2017/000000002587.jpg,79.439,47.697,0.002
val2017/000000221155.jpg,73.427,55.118,0.287
val2017/000000086956.jpg,82.922,55.342,0.847
val2017/000000112110.jpg,73.866,41.168,0.667
val2017/000000065798.jpg,81.026,51.276,0.864
val2017/000000416991.jpg,74.1,59.584,0.0
val2017/000000189698.jpg,78.629,62.87,0.0
val2017/000000274411.jpg,75.542,53.634,0.936
val2017/000000320642.jpg,76.09,56.22,0.88
val2017/000000279541.jpg,75.945,67.526,0.598
val2017/000000023666.jpg,74.326,66.854,0.001
val2017/000000475572.jpg,77.979,48.558,0.726
val2017/000000264535.jpg,73.799,75.048,0.731
val2017/000000129492.jpg,75.321,60.07,0.769
val2017/000000505565.jpg,81.733,70.308,0.088
val2017/000000476514.jpg,79.968,68.071,0.833
val2017/000000512403.jpg,74.106,57.324,0.123
val2017/000000297578.jpg,74.352,52.548,0.768
val2017/000000453166.jpg,67.14,35.301,0.899
val2017/000000401862.jpg,76.217,62.186,0.853
val2017/000000118367.jpg,76.086,56.646,0.436
val2017/000000479953.jpg,82.552,18.849,0.825
val2017/000000001268.jpg,74.216,77.331,0.75
val2017/000000036936.jpg,78.801,52.45,0.758
val2017/000000439180.jpg,78.525,56.426,0.848
val2017/000000176037.jpg,77.072,46.305,0.794
val2017/000000250901.jpg,76.716,58.691,0.461
val2017/000000538364.jpg,81.8,50.678,0.884
val2017/000000110449.jpg,77.398,59.648,0.776
val2017/000000128476.jpg,76.357,48.418,0.666
val2017/000000053529.jpg,76.275,72.58,0.575
val2017/000000325991.jpg,81.343,53.285,0.835
val2017/000000184762.jpg,84.863,50.436,0.001
val2017/000000125850.jpg,78.873,47.93,0.003
val2017/000000297562.jpg,74.878,54.304,0.829
val2017/000000093717.jpg,74.314,63.871,0.935
val2017/000000168974.jpg,74.911,47.06,0.786
val2017/000000510095.jpg,85.053,35.273,0.888
val2017/000000438017.jpg,77.393,57.976,0.286
val2017/000000230993.jpg,77.733,66.326,0.676
val2017/000000409211.jpg,77.897,49.585,0.892
val2017/000000045728.jpg,78.003,39.431,0.001
val2017/000000273617.jpg,68.187,30.252,0.499
val2017/000000066135.jpg,82.061,51.189,0.001
val2017/000000248112.jpg,77.875,46.239,0.889
val2017/000000450100.jpg,75.529,50.924,0.005
val2017/000000233238.jpg,73.08,38.945,0.712
val2017/000000239041.jpg,77.343,39.996,0.01
val2017/000000537964.jpg,78.129,67.642,0.003
val2017/000000416256.jpg,76.083,53.184,0.005
val2017/000000031217.jpg,76.173,52.658,0.877
val2017/000000159977.jpg,80.487,38.262,0.168
val2017/000000267434.jpg,81.145,74.508,0.007
val2017/000000116439.jpg,75.859,61.655,0.827
val2017/000000145597.jpg,77.511,71.354,0.802
val2017/000000036844.jpg,77.695,65.544,0.034
val2017/000000519688.jpg,77.143,51.342,0.636
val2017/000000358427.jpg,82.529,38.231,0.001
val2017/000000382122.jpg,71.336,52.059,0.004
val2017/000000229111.jpg,77.372,34.671,0.718
val2017/000000453841.jpg,77.21,85.765,0.623
val2017/000000082765.jpg,75.913,54.565,0.001
val2017/000000099182.jpg,76.023,67.085,0.682
val2017/000000132796.jpg,79.121,59.679,0.819
val2017/000000377368.jpg,80.852,63.825,0.465
val2017/000000032887.jpg,76.597,65.143,0.904
val2017/000000317433.jpg,81.695,47.537,0.903
val2017/000000201418.jpg,78.267,42.247,0.782
val2017/000000206579.jpg,78.096,69.269,0.663
val2017/000000062808.jpg,76.799,54.466,0.741
val2017/000000284106.jpg,78.811,60.291,0.178
val2017/000000407083.jpg,77.492,69.007,0.699
val2017/000000306700.jpg,76.544,52.583,0.841
val2017/000000261318.jpg,76.93,86.85,0.817
val2017/000000025560.jpg,78.504,54.331,0.716
val2017/000000261061.jpg,86.091,40.101,0.847
val2017/000000036494.jpg,81.88,70.993,0.741
val2017/000000561465.jpg,80.16,53.192,0.002
val2017/000000117425.jpg,78.319,57.437,0.756
val2017/000000021903.jpg,78.394,65.541,0.829
val2017/000000398810.jpg,80.569,78.974,0.032
val2017/000000470779.jpg,77.823,53.828,0.889
val2017/000000140640.jpg,79.048,52.747,0.797
val2017/000000387098.jpg,78.4,63.293,0.465
val2017/000000229601.jpg,88.057,58.614,0.854
val2017/000000433103.jpg,82.715,63.93,0.788
val2017/000000382009.jpg,81.682,65.587,0.841
val2017/000000440336.jpg,79.507,38.38,0.916
val2017/000000404839.jpg,85.432,57.646,0.749
val2017/000000562448.jpg,89.601,48.546,0.046
val2017/000000436617.jpg,78.043,53.166,0.745
val2017/000000153527.jpg,77.927,60.329,0.558
val2017/000000566436.jpg,81.31,32.577,0.479
val2017/000000260925.jpg,86.372,72.897,0.453
val2017/000000146155.jpg,80.336,47.662,0.801
val2017/000000022589.jpg,83.307,55.287,0.019
val2017/000000284698.jpg,82.584,60.528,0.724
val2017/000000005503.jpg,77.436,44.364,0.269
val2017/000000087244.jpg,77.449,62.89,0.669
val2017/000000321790.jpg,77.211,37.287,0.888
val2017/000000310980.jpg,77.197,85.886,0.323
val2017/000000022705.jpg,79.214,49.617,0.901
val2017/000000463174.jpg,74.659,67.495,0.861
val2017/000000168330.jpg,76.35,37.078,0.08
val2017/000000518770.jpg,79.614,40.035,0.872
val2017/000000232692.jpg,77.658,58.236,0.891
val2017/000000119233.jpg,80.879,61.122,0.003
val2017/000000076731.jpg,79.119,33.224,0.001
val2017/000000246968.jpg,82.507,56.949,0.834
val2017/000000513041.jpg,78.019,51.701,0.593
val2017/000000481582.jpg,80.286,71.062,0.784
val2017/000000011511.jpg,78.083,81.9,0.788
val2017/000000303566.jpg,81.301,73.263,0.785
val2017/000000151657.jpg,76.494,69.212,0.872
val2017/000000458255.jpg,83.684,49.538,0.732
val2017/000000078843.jpg,79.58,54.561,0.632
val2017/000000125936.jpg,82.372,57.67,0.786
val2017/000000183716.jpg,72.939,52.502,0.755
val2017/000000153669.jpg,78.808,51.48,0.858
val2017/000000072795.jpg,81.901,57.179,0.852
val2017/000000322829.jpg,83.689,63.704,0.001
val2017/000000541773.jpg,82.076,50.872,0.702
val2017/000000193743.jpg,73.448,42.79,0.863
val2017/000000213547.jpg,79.792,61.888,0.892
val2017/000000088345.jpg,79.603,31.022,0.81
val2017/000000463527.jpg,79.671,61.457,0.029
val2017/000000000885.jpg,79.383,51.736,0.859
val2017/000000313034.jpg,81.759,56.707,0.766
val2017/000000222735.jpg,78.936,71.994,0.092
val2017/000000371749.jpg,79.837,48.142,0.518
val2017/000000435299.jpg,80.456,50.941,0.001
val2017/000000435880.jpg,80.229,55.108,0.0
val2017/000000236592.jpg,81.123,42.053,0.003
val2017/000000466085.jpg,79.873,41.379,0.002
val2017/000000568710.jpg,81.639,38.076,0.417
val2017/000000263969.jpg,79.376,76.28,0.777
val2017/000000289938.jpg,78.476,49.917,0.658
val2017/000000203488.jpg,78.659,59.012,0.001
val2017/000000560474.jpg,80.492,66.88,0.685
val2017/000000074200.jpg,82.909,65.517,0.672
val2017/000000020333.jpg,80.467,74.917,0.84
val2017/000000418696.jpg,77.522,49.584,0.0
val2017/000000338304.jpg,79.44,53.776,0.761
val2017/000000474344.jpg,89.056,49.246,0.888
val2017/000000097337.jpg,83.574,71.315,0.448
val2017/000000363784.jpg,79.169,66.027,0.024
val2017/000000063047.jpg,84.245,70.086,0.873
val2017/000000518326.jpg,80.639,66.737,0.774
val2017/000000171190.jpg,73.883,64.441,0.804
val2017/000000283717.jpg,79.796,65.527,0.412
val2017/000000574702.jpg,80.782,70.057,0.788
val2017/000000405691.jpg,83.869,63.125,0.039
val2017/000000161879.jpg,79.7,61.981,0.813
val2017/000000279145.jpg,86.041,66.169,0.032
val2017/000000150265.jpg,80.521,52.795,0.9
val2017/000000136715.jpg,79.641,62.613,0.814
val2017/000000303653.jpg,83.574,46.248,0.804
val2017/000000194216.jpg,81.382,39.513,0.001
val2017/000000311392.jpg,82.081,59.546,0.67
val2017/000000282296.jpg,82.962,41.471,0.001
val2017/000000557672.jpg,81.003,73.331,0.608
val2017/000000278848.jpg,79.968,80.312,0.77
val2017/000000365207.jpg,77.332,63.78,0.003
val2017/000000353027.jpg,84.541,37.356,0.23
val2017/000000458325.jpg,79.979,50.378,0.813
val2017/000000320490.jpg,80.857,58.785,0.818
val2017/000000314177.jpg,86.855,51.679,0.806
val2017/000000374083.jpg,86.252,63.477,0.716
val2017/000000080932.jpg,81.361,51.716,0.764
val2017/000000475904.jpg,81.934,55.971,0.001
val2017/000000039785.jpg,81.348,68.092,0.924
val2017/000000479099.jpg,90.35,49.546,0.0
val2017/000000557916.jpg,86.443,39.805,0.817
val2017/000000322574.jpg,83.1,66.804,0.001
val2017/000000353051.jpg,90.131,47.887,0.865
